Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1
Child Health Center,Manhattan,La Clinica Del Barrio,,212-410-7940,POINT (-73.932667945174 40.798205044469)
Acute Care Hospital,Queens,Elmhurst Hospital Center,,718-334-4000,POINT (-73.878351155182 40.738710402563)
Child Health Center,Brooklyn,Ida G. Israel Community Health Center,W. 22nd St. & W. 23rd St.,718-946-3400,POINT (-73.989497148121 40.578488319967)
Child Health Center,Queens,South Queens Community Health Center,,718-883-6699,POINT (-73.775306901692 40.676945262114)
Child Health Center,Bronx,Melrose Houses Child Health Clinic,between Morris Ave. & Courtlandt Ave.,718-292-2820,POINT (-73.917709787212 40.821301194646)
Child Health Center,Bronx,Daniel Webster Houses Child Health Clinic,corner of Webster Ave.,718-538-2147,POINT (-73.909534601874 40.832279848967)
Diagnostic & Treatment Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,POINT (-73.916811846348 40.810121864043)
Child Health Center,Queens,Parsons Communicare Clinic,between Jamaica Ave. & 90th Ave.,718-334-6401,POINT (-73.792820999789 40.71311535449)
Child Health Center,Queens,Queens Hospital Center,,718-883-3000,POINT (-73.792820999789 40.71311535449)
Child Health Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,POINT (-73.976235572166 40.695143584665)
Child Health Center,Queens,Junction Boulevard Child Health Clinic,between 34th Ave. & 35th Ave.,718-334-6150,POINT (-73.883612545283 40.751630739367)
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,POINT (-73.941643858765 40.70052661478)
Child Health Center,Brooklyn,Eleanor Roosevelt Houses Child Health Clinic,between Lewis Ave. & Stuyvesant Ave.,718-452-1146,POINT (-73.935456875218 40.69392371549)
Acute Care Hospital,Bronx,Jacobi Medical Center,,718-918-5000,POINT (-73.846571204087 40.857397104611)
Acute Care Hospital,Manhattan,Metropolitan Hospital Center,,212-423-6262,POINT (-73.943795653643 40.784557024105)
Child Health Center,Brooklyn,Bushwick Communicare,between Linden St. & Grove St.,718-573-4860,POINT (-73.919223916666 40.694738427187)
Child Health Center,Brooklyn,Lafayette Houses Child Health Clinic,between Classon Ave. & Taffee Place,718-638-8258,POINT (-73.959782659483 40.690366628996)
Diagnostic & Treatment Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,POINT (-73.89520529393 40.671962495107)
Child Health Center,Brooklyn,Williamsburg Child Health Clinic,between Power & Grand St.,718-387-2211,POINT (-73.943994071543 40.712103238036)
Acute Care Hospital,Bronx,North Central Bronx Hospital,,718-519-5000,POINT (-73.881592877502 40.880463372456)
Child Health Center,Manhattan,Harlem Hospital Center,,212-939-1000,POINT (-73.940602831291 40.814275217502)
Child Health Center,Manhattan,Sydenham Health Center,,212-932-6500,POINT (-73.949197484073 40.809338651192)
Nursing Home,Brooklyn,Dr. Susan Smith McKinney Nursing and Rehabilitation Center,,718-245-7000,POINT (-73.939761495742 40.66005451681)
Child Health Center,Bronx,Lincoln  Medical &  Mental Health Center,,718-579-5000,POINT (-73.924200271483 40.817688484049)
Child Health Center,Queens,Corona Child Health Clinic,between 104th St. & 106th St.,718-334-6100,POINT (-73.853040688577 40.749678220374)
Nursing Home,Staten Island,Sea View Hospital Rehabilitation Center & Home,,718-317-3000,POINT (-74.131766325901 40.597953866387)
Child Health Center,Queens,Springfield Gardens Medical Center,,718-883-6800,POINT (-73.750873933285 40.669711181226)
